iter	Passed	Remaining
1387	25617	16333
1388	25641	16319
1389	25667	16305
1390	25692	16291
1391	25716	16276
1392	25737	16259
1393	25757	16241
1394	25782	16227
1395	25806	16212
1396	25828	16196
1397	25851	16180
1398	25872	16163
1399	25894	16147
1400	25918	16131
1401	25940	16115
1402	25960	16098
1403	25982	16081
1404	26002	16064
1405	26021	16046
1406	26040	16027
1407	26063	16011
1408	26085	15995
1409	26105	15977
1410	26125	15960
1411	26146	15943
1412	26168	15926
1413	26194	15912
1414	26222	15900
1415	26247	15885
1416	26270	15870
1417	26294	15854
1418	26319	15839
1419	26341	15823
1420	26365	15808
1421	26389	15793
1422	26415	15779
1423	26443	15765
1424	26468	15750
1425	26492	15735
1426	26516	15720
1427	26537	15703
1428	26559	15686
1429	26581	15670
1430	26602	15652
1431	26624	15636
1432	26644	15618
1433	26663	15600
1434	26684	15583
1435	26704	15565
1436	26727	15549
1437	26747	15531
1438	26767	15513
1439	26786	15495
1440	26807	15478
1441	26830	15461
1442	26850	15444
1443	26872	15427
1444	26895	15411
1445	26916	15394
1446	26938	15377
1447	26960	15360
1448	26979	15342
1449	26999	15324
1450	27019	15306
1451	27041	15290
1452	27064	15273
1453	27086	15257
1454	27109	15240
1455	27129	15223
1456	27151	15206
1457	27172	15188
1458	27194	15172
1459	27213	15154
1460	27233	15135
1461	27253	15118
1462	27278	15102
1463	27299	15085
1464	27321	15068
1465	27343	15052
1466	27366	15035
1467	27386	15017
1468	27408	15000
1469	27431	14984
1470	27456	14969
1471	27479	14953
1472	27500	14935
1473	27523	14919
1474	27546	14903
1475	27570	14887
1476	27594	14871
1477	27615	14854
1478	27639	14838
1479	27662	14821
1480	27682	14803
1481	27704	14786
1482	27726	14769
1483	27745	14751
1484	27767	14734
1485	27791	14718
1486	27811	14700
1487	27832	14682
1488	27854	14666
1489	27876	14649
1490	27897	14631
1491	27918	14614
1492	27940	14597
1493	27961	14579
1494	27983	14562
1495	28006	14546
1496	28026	14527
1497	28046	14509
1498	28071	14494
1499	28092	14477
1500	28112	14458
1501	28132	14441
1502	28154	14423
1503	28175	14406
1504	28196	14388
1505	28220	14372
1506	28240	14354
1507	28259	14336
1508	28280	14318
1509	28302	14301
1510	28323	14283
1511	28343	14265
1512	28363	14247
1513	28400	14237
1514	28425	14222
1515	28451	14206
1516	28474	14190
1517	28495	14172
1518	28517	14155
1519	28539	14138
1520	28562	14121
1521	28586	14105
1522	28608	14088
1523	28630	14071
1524	28651	14053
1525	28671	14035
1526	28691	14016
1527	28713	13999
1528	28736	13983
1529	28758	13965
1530	28778	13947
1531	28798	13929
1532	28818	13911
1533	28839	13893
1534	28858	13874
1535	28879	13856
1536	28902	13840
1537	28922	13821
1538	28943	13804
1539	28966	13787
1540	28986	13768
1541	29004	13750
1542	29026	13732
1543	29049	13715
1544	29071	13698
1545	29093	13680
1546	29112	13662
1547	29134	13644
1548	29154	13626
1549	29174	13608
1550	29193	13589
1551	29212	13570
1552	29233	13553
1553	29254	13535
1554	29273	13516
1555	29295	13499
1556	29315	13480
1557	29336	13463
1558	29356	13445
1559	29378	13427
1560	29397	13408
1561	29416	13389
1562	29439	13373
1563	29461	13355
1564	29482	13337
1565	29500	13318
1566	29518	13299
1567	29538	13281
1568	29558	13262
1569	29577	13243
1570	29594	13224
1571	29614	13205
1572	29635	13188
1573	29656	13170
1574	29678	13152
1575	29700	13135
1576	29721	13117
1577	29745	13100
1578	29769	13084
1579	29793	13067
1580	29815	13050
1581	29839	13033
1582	29863	13016
1583	29886	12999
1584	29907	12982
1585	29933	12965
1586	29957	12949
1587	29979	12931
1588	29999	12913
1589	30019	12895
1590	30039	12876
1591	30061	12859
1592	30083	12841
1593	30104	12823
1594	30128	12807
1595	30151	12789
1596	30173	12772
1597	30194	12754
1598	30216	12736
1599	30238	12718
1600	30262	12702
1601	30286	12685
1602	30311	12669
1603	30334	12651
1604	30355	12634
1605	30379	12617
1606	30401	12599
1607	30419	12580
1608	30440	12562
1609	30461	12544
1610	30485	12527
1611	30510	12510
1612	30532	12493
1613	30561	12478
1614	30594	12465
1615	30618	12448
1616	30644	12432
1617	30669	12415
1618	30696	12399
1619	30722	12383
1620	30745	12366
1621	30764	12347
1622	30784	12328
1623	30802	12309
1624	30820	12290
1625	30841	12271
1626	30860	12252
1627	30882	12235
1628	30903	12217
1629	30926	12199
1630	30947	12181
1631	30968	12163
1632	30992	12146
1633	31014	12128
1634	31038	12111
1635	31061	12094
1636	31085	12077
1637	31110	12060
1638	31133	12043
1639	31158	12026
1640	31180	12008
1641	31201	11990
1642	31222	11972
1643	31241	11953
1644	31263	11935
1645	31285	11917
1646	31308	11899
1647	31329	11881
1648	31350	11863
